run,launch_ordinal,kernel,metric,unit,value
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum,sector,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum,sector,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum,sector,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_atom.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum,,8727576
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed,%,0.19
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum,,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum,,4
aggregate_q128_r500,0,"mergeResRnn(int, int, int *, int, int *, int, int, int, int *)",l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,%,0.00
