q,radius,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,300,2,AB,A,0,stage.node_distance_prune,4,0.000338253,0.000337146,0.03044910341351001
32,300,2,AB,A,0,stage.schedule,10,0.000124733,0.000121816,0.011228305487541407
32,300,2,AB,A,1,stage.aggregate,1,0.008690199,0.008689947,0.7835753915713383
32,300,2,AB,A,1,stage.alloc_init,1,0.000631543,0.000631246,0.05694478958642234
32,300,2,AB,A,1,stage.candidates,1,7.9726e-05,7.9442e-05,0.007188711290548873
32,300,2,AB,A,1,stage.cleanup,1,0.00022054,0.00022022,0.019885587989083214
32,300,2,AB,A,1,stage.delivery,1,1.8628e-05,1.8345e-05,0.0016796442054078267
32,300,2,AB,A,1,stage.leaf_distance,1,0.000981604,0.000981192,0.0885089902622474
32,300,2,AB,A,1,stage.node_distance_prune,4,0.000338702,0.000337595,0.030539985594805766
32,300,2,AB,A,1,stage.schedule,10,0.000125051,0.000122068,0.01127556299819917
32,300,2,AB,A,2,stage.aggregate,1,0.00868984,0.008689694,0.784309973673235
32,300,2,AB,A,2,stage.alloc_init,1,0.000636495,0.00063603,0.0574474762128124
32,300,2,AB,A,2,stage.candidates,1,7.7931e-05,7.7639e-05,0.007033738314897496
32,300,2,AB,A,2,stage.cleanup,1,0.000215211,0.000214937,0.019424078434607604
32,300,2,AB,A,2,stage.delivery,1,1.8462e-05,1.8183e-05,0.0016663057931970281
32,300,2,AB,A,2,stage.leaf_distance,1,0.000979575,0.000979168,0.08841249579519982
32,300,2,AB,A,2,stage.node_distance_prune,4,0.000338783,0.000337688,0.03057718966182801
32,300,2,AB,A,2,stage.schedule,10,0.00011983,0.000117088,0.010815373372267352
32,300,2,AB,A,3,stage.aggregate,1,0.008690175,0.008685295,0.7840134309893066
32,300,2,AB,A,3,stage.alloc_init,1,0.000638037,0.000637557,0.057562658688475696
32,300,2,AB,A,3,stage.candidates,1,7.5442e-05,7.5163e-05,0.006806254334428855
32,300,2,AB,A,3,stage.cleanup,1,0.000215401,0.000215123,0.019433127301639798
32,300,2,AB,A,3,stage.delivery,1,1.9799e-05,1.9508e-05,0.0017862335246594326
32,300,2,AB,A,3,stage.leaf_distance,1,0.000984408,0.000984069,0.08881168602166485
32,300,2,AB,A,3,stage.node_distance_prune,4,0.000339148,0.000338034,0.030597380040466547
32,300,2,AB,A,3,stage.schedule,10,0.000118333,0.000115565,0.01067581047899008
32,300,2,AB,A,4,stage.aggregate,1,0.0086941,0.008693973,0.7835055151160573
32,300,2,AB,A,4,stage.alloc_init,1,0.000636819,0.000636336,0.05738963189182233
32,300,2,AB,A,4,stage.candidates,1,7.8261e-05,7.7965e-05,0.007052820317053837
32,300,2,AB,A,4,stage.cleanup,1,0.000216784,0.00021645,0.019536405101036262
32,300,2,AB,A,4,stage.delivery,1,1.8979e-05,1.8691e-05,0.0017103726862340728
32,300,2,AB,A,4,stage.leaf_distance,1,0.0009859,0.000985637,0.08884853950988843
32,300,2,AB,A,4,stage.node_distance_prune,4,0.000339742,0.000338657,0.030617284217637195
32,300,2,AB,A,4,stage.schedule,10,0.000121867,0.000119052,0.010982559047014477
32,300,2,AB,A,5,stage.aggregate,1,0.008690906,0.008690609,0.783750373121878
32,300,2,AB,A,5,stage.alloc_init,1,0.000635717,0.000635245,0.05732928603184995
32,300,2,AB,A,5,stage.candidates,1,7.7234e-05,7.6957e-05,0.006965001844191518
32,300,2,AB,A,5,stage.cleanup,1,0.000218905,0.000218595,0.01974096549062258
32,300,2,AB,A,5,stage.delivery,1,1.994e-05,1.9667e-05,0.0017981994558507763
